Numero_Trade,ID_Unico,Tipo,Tiempo_Entrada,Tiempo_Salida,Precio_Entrada,Precio_Salida,Retorno_Porcentaje,Retorno_Absoluto_USD,Duracion_Steps,Estado,Ganancia_Perdida,Timestamp_Generacion
1,T00001_20250625_091811_33729E1A,BUY,101,116,6054.2,6058.2,0.0661,60.0,15,SIGNAL_EXIT,GANANCIA,20250625
2,T00002_20250625_091811_A9D82769,BUY,193,217,6058.7,6060.57,0.0309,28.05,24,SIGNAL_EXIT,GANANCIA,20250625
3,T00003_20250625_091811_CC42A1A6,BUY,344,356,6083.48,6086.98,0.0575,52.5,12,SIGNAL_EXIT,GANANCIA,20250625
4,T00004_20250625_091811_F5BC7FAD,BUY,384,449,6084.23,6079.23,-0.0822,-75.0,65,SIGNAL_EXIT,PERDIDA,20250625
5,T00005_20250625_091811_2D6514D9,BUY,461,507,6073.73,6079.98,0.1029,93.75,46,SIGNAL_EXIT,GANANCIA,20250625
6,T00006_20250625_091811_F27B2800,BUY,527,632,6081.85,6075.73,-0.1006,-91.8,105,SIGNAL_EXIT,PERDIDA,20250625
7,T00007_20250625_091811_F4D23E23,BUY,672,728,6072.98,6069.48,-0.0576,-52.5,56,SIGNAL_EXIT,PERDIDA,20250625
8,T00008_20250625_091811_190F8BE5,BUY,774,803,6071.53,6073.53,0.0329,30.0,29,SIGNAL_EXIT,GANANCIA,20250625
9,T00009_20250625_091811_386D07BA,BUY,849,863,6075.53,6081.03,0.0905,82.5,14,SIGNAL_EXIT,GANANCIA,20250625
10,T00010_20250625_091811_4A65AB14,BUY,894,912,6084.28,6088.03,0.0616,56.25,18,SIGNAL_EXIT,GANANCIA,20250625
11,T00011_20250625_091811_4F337933,BUY,957,1004,6091.53,6094.78,0.0534,48.75,47,SIGNAL_EXIT,GANANCIA,20250625
12,T00012_20250625_091811_E8A1035D,BUY,1028,1083,6097.03,6101.78,0.0779,71.25,55,SIGNAL_EXIT,GANANCIA,20250625
13,T00013_20250625_091811_488AD294,BUY,1133,1186,6099.78,6095.2,-0.0751,-68.7,53,SIGNAL_EXIT,PERDIDA,20250625
14,T00014_20250625_091811_069BC414,BUY,1200,1309,6092.95,6092.69,-0.0043,-3.9,109,SIGNAL_EXIT,PERDIDA,20250625
15,T00015_20250625_091811_05810BD6,BUY,1356,1373,6095.44,6097.44,0.0328,30.0,17,SIGNAL_EXIT,GANANCIA,20250625
16,T00016_20250625_091811_D32403D7,BUY,1382,1477,6096.19,6092.94,-0.0533,-48.75,95,SIGNAL_EXIT,PERDIDA,20250625
17,T00017_20250625_091811_E4AEB375,BUY,1495,1504,6092.44,6094.19,0.0287,26.25,9,SIGNAL_EXIT,GANANCIA,20250625
18,T00018_20250625_091811_3F599E4D,BUY,1543,1565,6094.44,6094.19,-0.0041,-3.75,22,SIGNAL_EXIT,PERDIDA,20250625
19,T00019_20250625_091811_8378E402,BUY,1607,1613,6096.19,6097.44,0.0205,18.75,6,SIGNAL_EXIT,GANANCIA,20250625
20,T00020_20250625_091811_F39C0F4C,BUY,1659,1803,6098.81,6097.47,-0.022,-20.1,144,SIGNAL_EXIT,PERDIDA,20250625
21,T00021_20250625_091811_D39ED8ED,BUY,1809,1860,6094.47,6098.47,0.0656,60.0,51,SIGNAL_EXIT,GANANCIA,20250625
22,T00022_20250625_091811_9B7FFE65,BUY,1890,1899,6097.72,6096.72,-0.0164,-15.0,9,END_OF_BACKTEST,PERDIDA,20250625
